Titulo,Año,Duración,Género,Puntaje,Resumen,Director,Actor_1,Actor_2,Actor_3,Actor_4
Song of the Sea,2014,93,"Animación, Aventura, Drama",8.1,"Ben, un joven irlandés, y su hermana pequeña Saoirse, una niña que puede convertirse en foca, se embarcan en una aventura para liberar a las hadas y salvar el mundo de los espíritus.",Tomm Moore,David Rawle,Brendan Gleeson,Lisa Hannigan,Fionnula Flanagan
Kahaani,2012,122,"Misterio, Suspense",8.1,"La búsqueda de una mujer embarazada de su marido desaparecido la lleva de Londres a Calcuta, pero todos los que interroga niegan haberlo conocido.",Sujoy Ghosh,Vidya Balan,Parambrata Chattopadhyay,Indraneil Sengupta,Nawazuddin Siddiqui
Zindagi Na Milegi Dobara,2011,155,Comedia dramática,8.1,Tres amigos deciden hacer realidad sus vacaciones de fantasía después de que uno de ellos se compromete.,Zoya Akhtar,Hrithik Roshan,Farhan Akhtar,Abhay Deol,Katrina Kaif
Prisoners,2013,153,"Crimen, Drama, Misterio",8.1,"Cuando la hija de Keller Dover y su amiga desaparecen, él toma el asunto en sus propias manos mientras la policía sigue múltiples pistas y la presión aumenta.",Denis Villeneuve,Hugh Jackman,Jake Gyllenhaal,Viola Davis,Melissa Leo
Mad Max: Fury Road,2015,120,"Acción, Aventura, Ciencia ficción",8.1,"En un páramo post-apocalíptico, una mujer se rebela contra un gobernante tiránico en busca de su tierra natal con la ayuda de un grupo de prisioneras, un adorador psicótico y un vagabundo llamado Max.",George Miller,Tom Hardy,Charlize Theron,Nicholas Hoult,ZoÃ« Kravitz
A Wednesday,2008,104,"Acción, Crimen, Drama",8.1,Un oficial de policía jubilado recuerda el día más asombroso de su carrera. Sobre un caso que nunca fue archivado pero que continúa atormentándolo en sus recuerdos: el caso de un hombre y un miércoles.,Neeraj Pandey,Anupam Kher,Naseeruddin Shah,Jimmy Sheirgill,Aamir Bashir
Gran Torino,2008,116,Drama,8.1,"El descontento veterano de la Guerra de Corea, Walt Kowalski, se propone reformar a su vecino, Thao Lor, un adolescente hmong que intentó robar la preciada posesión de Kowalski: un Gran Torino de 1972.",Clint Eastwood,Clint Eastwood,Bee Vang,Christopher Carley,Ahney Her
Harry Potter and the Deathly Hallows: Part 2,2011,130,"Aventura, Drama, Fantasía",8.1,"Harry, Ron y Hermione buscan los Horrocruxes restantes de Voldemort en su esfuerzo por destruir al Señor Oscuro mientras la batalla final continúa en Hogwarts.",David Yates,Daniel Radcliffe,Emma Watson,Rupert Grint,Michael Gambon
Okuribito,2008,130,"Drama, Música",8.1,Un violonchelista recién desempleado acepta un trabajo preparando a los muertos para los funerales.,YÃ´jirÃ´ Takita,Masahiro Motoki,RyÃ´ko Hirosue,Tsutomu Yamazaki,Kazuko Yoshiyuki
Hachi: A Dog's Tale,2009,93,"Biografía, Drama, Familia",8.1,Un profesor universitario se une a un perro abandonado que acoge en su casa.,Lasse HallstrÃ¶m,Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa,Sarah Roemer
Mary and Max,2009,92,"Animación, Comedia, Drama",8.1,"Una historia de amistad entre dos amigos por correspondencia improbables: Mary, una niña solitaria de ocho años que vive en los suburbios de Melbourne, y Max, un hombre de cuarenta y cuatro años con obesidad severa que vive en Nueva York.",Adam Elliot,Toni Collette,Philip Seymour Hoffman,Eric Bana,Barry Humphries
How to Train Your Dragon,2010,98,"Animación, Acción, Aventura",8.1,Un desventurado joven vikingo que aspira a cazar dragones se convierte en el improbable amigo de un joven dragón y descubre que puede haber más criaturas de lo que pensaba.,Dean DeBlois,Chris Sanders,Jay Baruchel,Gerard Butler,Christopher Mintz-Plasse
Into the Wild,2007,148,"Aventura, Biografía, Drama",8.1,"Después de graduarse de la Universidad Emory, el mejor estudiante y atleta Christopher McCandless abandona sus posesiones, dona toda su cuenta de ahorros de $24,000 a organizaciones benéficas y hace autostop hasta Alaska para vivir en la naturaleza. En el camino, Christopher se encuentra con una serie de personajes que marcan su vida.",Sean Penn,Emile Hirsch,Vince Vaughn,Catherine Keener,Marcia Gay Harden
No Country for Old Men,2007,122,"Crimen, Drama, Suspense",8.1,La violencia y el caos sobrevienen después de que un cazador se topa con un negocio de drogas que salió mal y más de dos millones de dólares en efectivo cerca del Río Grande.,Ethan Coen,Joel Coen,Tommy Lee Jones,Javier Bardem,Josh Brolin
Lage Raho Munna Bhai,2006,144,"Comedia, Drama, Romance",8.1,Munna Bhai se embarca en un viaje con Mahatma Gandhi para luchar contra un comerciante inmobiliario corrupto.,Rajkumar Hirani,Sanjay Dutt,Arshad Warsi,Vidya Balan,Boman Irani
Million Dollar Baby,2004,132,"Drama, Deporte",8.1,Una mujer decidida trabaja con un entrenador de boxeo experimentado para convertirse en profesional.,Clint Eastwood,Hilary Swank,Clint Eastwood,Morgan Freeman,Jay Baruchel
Hotel Rwanda,2004,121,"Biografía, Drama, Historia",8.1,"Paul Rusesabagina, director de un hotel, alberga a más de mil refugiados tutsis durante su lucha contra la milicia hutu en Ruanda, África.",Terry George,Don Cheadle,Sophie Okonedo,Joaquin Phoenix,Xolani Mali
Taegukgi hwinalrimyeo,2004,140,"Acción, Drama, Guerra",8.1,"Cuando dos hermanos se ven obligados a luchar en la Guerra de Corea, el mayor decide emprender las misiones más arriesgadas si eso ayuda a proteger al menor de la batalla.",Je-kyu Kang,Jang Dong-Gun,Won Bin,Eun-ju Lee,Hyeong-jin Kong
Before Sunset,2004,80,"Drama, Romance",8.1,"Nueve años después de que Jesse y Celine se conocieran, se reencuentran en la etapa francesa de la gira del libro de Jesse.",Richard Linklater,Ethan Hawke,Julie Delpy,Vernon Dobtcheff,Louise Lemoine TorrÃ¨s
Munna Bhai M.B.B.S.,2003,156,"Comedia, Drama, Musical",8.1,Un gángster se propone cumplir el sueño de su padre de convertirse en médico.,Rajkumar Hirani,Sanjay Dutt,Arshad Warsi,Gracy Singh,Sunil Dutt
Salinui chueok,2003,131,"Crimen, Drama, Misterio",8.1,"En una pequeña provincia coreana en 1986, dos detectives luchan con el caso de varias mujeres jóvenes que fueron encontradas violadas y asesinadas por un culpable desconocido.",Bong Joon Ho,Kang-ho Song,Kim Sang-kyung,Roe-ha Kim,Jae-ho Song
Dil Chahta Hai,2001,183,"Comedia, Drama, Romance",8.1,"Tres amigos inseparables de la infancia acaban de terminar la universidad. Nada se interpone entre ellos, hasta que ambos se enamoran y sus enfoques tremendamente diferentes de las relaciones crean tensión.",Farhan Akhtar,Aamir Khan,Saif Ali Khan,Akshaye Khanna,Preity Zinta
Kill Bill: Vol. 1,2003,111,"Acción, Crimen, Drama",8.1,"Después de despertar de un coma de cuatro años, una ex asesina se venga del equipo de asesinos que la traicionaron.",Quentin Tarantino,Uma Thurman,David Carradine,Daryl Hannah,Michael Madsen
Finding Nemo,2003,100,"Animación, Aventura, Comedia",8.1,"Después de que su hijo es capturado en la Gran Barrera de Coral y llevado a Sydney, un tímido pez payaso emprende un viaje para traerlo a casa.",Andrew Stanton,Lee Unkrich,Albert Brooks,Ellen DeGeneres,Alexander Gould
Catch Me If You Can,2002,141,"Biografía, Crimen, Drama",8.1,"Frank, que apenas tiene 21 años, es un hábil falsificador que ha pasado por médico, abogado y piloto. El agente del FBI Carl se obsesiona con localizar al estafador, quien sólo se deleita con la persecución.",Steven Spielberg,Leonardo DiCaprio,Tom Hanks,Christopher Walken,Martin Sheen
Amores perros,2000,154,"Drama, Suspense",8.1,"Un horrible accidente automovilístico conecta tres historias, cada una de las cuales involucra personajes que enfrentan la pérdida, el arrepentimiento y las duras realidades de la vida, todo en nombre del amor.",Alejandro G. IÃ±Ã¡rritu,Emilio EchevarrÃ­a,Gael GarcÃ­a Bernal,Goya Toledo,Ãlvaro Guerrero
"Monsters, Inc.",2001,92,"Animación, Aventura, Comedia",8.1,"Para darle energía a la ciudad, los monstruos tienen que asustar a los niños para que griten. Sin embargo, los niños son tóxicos para los monstruos, y después de que un niño supera, 2 monstruos se dan cuenta de que las cosas pueden no ser lo que piensan.",Pete Docter,David Silverman,Lee Unkrich,Billy Crystal,John Goodman
"Shin seiki Evangelion GekijÃ´-ban: Air/Magokoro wo, kimi ni",1997,87,"Animación, Acción, Drama",8.1,Final teatral concurrente de la serie de televisión Shin seiki evangerion (1995).,Hideaki Anno,Kazuya Tsurumaki,Megumi Ogata,Megumi Hayashibara,YÃ»ko Miyamura
Lagaan: Once Upon a Time in India,2001,224,"Aventura, Drama, Musical",8.1,La gente de un pequeño pueblo de la India victoriana juega su futuro en un juego de cricket contra sus despiadados gobernantes británicos.,Ashutosh Gowariker,Aamir Khan,Raghuvir Yadav,Gracy Singh,Rachel Shelley
The Sixth Sense,1999,107,"Drama, Misterio, Suspense",8.1,Un niño que se comunica con los espíritus busca la ayuda de un psicólogo infantil descorazonado.,M. Night Shyamalan,Bruce Willis,Haley Joel Osment,Toni Collette,Olivia Williams
La leggenda del pianista sull'oceano,1998,169,"Drama, Música, Romance",8.1,"Un bebé, descubierto en 1900 en un transatlántico, se convierte en un prodigio musical y nunca pone un pie en tierra.",Giuseppe Tornatore,Tim Roth,Pruitt Taylor Vince,MÃ©lanie Thierry,Bill Nunn
The Truman Show,1998,103,Comedia dramática,8.1,Un vendedor de seguros descubre que toda su vida es en realidad un reality show de televisión.,Peter Weir,Jim Carrey,Ed Harris,Laura Linney,Noah Emmerich
"Crna macka, beli macor",1998,127,"Comedia, crimen, romance",8.1,"Matko y su hijo Zare viven a orillas del río Danubio y se las arreglan trabajando y básicamente haciendo cualquier cosa para ganarse la vida. Para saldar una deuda comercial, Matko acepta casar a Zare con la hermana de un gángster local.",Emir Kusturica,Bajram Severdzan,Srdjan 'Zika' Todorovic,Branka Katic,Florijan Ajdini
The Big Lebowski,1998,117,"Comedia, Crimen, Deporte",8.1,"Jeff ""The Dude"" Lebowski, confundido con un millonario del mismo nombre, busca la restitución de su alfombra arruinada y recluta a sus compañeros de bolos para que le ayuden a conseguirla.",Joel Coen,Ethan Coen,Jeff Bridges,John Goodman,Julianne Moore
Fa yeung nin wah,2000,98,"Drama, Romance",8.1,"Dos vecinos, una mujer y un hombre, forman un fuerte vínculo después de que ambos sospechan de actividades extramatrimoniales de sus cónyuges. Sin embargo, acuerdan mantener su vínculo platónico para no cometer errores similares.",Kar-Wai Wong,Tony Chiu-Wai Leung,Maggie Cheung,Ping Lam Siu,Tung Cho 'Joe' Cheung
Trainspotting,1996,93,Drama,8.1,"Renton, profundamente inmerso en la escena de las drogas de Edimburgo, intenta limpiar y salir, a pesar del atractivo de las drogas y la influencia de los amigos.",Danny Boyle,Ewan McGregor,Ewen Bremner,Jonny Lee Miller,Kevin McKidd
Fargo,1996,98,"Crimen, Drama, Suspense",8.1,"El inepto crimen de Jerry Lundegaard se desmorona debido a su torpeza y la de sus secuaces y al persistente trabajo policial de Marge Gunderson, bastante embarazada.",Joel Coen,Ethan Coen,William H. Macy,Frances McDormand,Steve Buscemi
Underground,1995,170,"Comedia, Drama, Guerra",8.1,"Un grupo de socialistas serbios se prepara para la guerra en un subsuelo surrealista lleno de fiestas, tragedias, amor y odio.",Emir Kusturica,Predrag 'Miki' Manojlovic,Lazar Ristovski,Mirjana Jokovic,Slavko Stimac
La haine,1995,98,"Drama, Crimen",8.1,24 horas en la vida de tres jóvenes en los suburbios franceses el día después de un violento motín.,Mathieu Kassovitz,Vincent Cassel,Hubert KoundÃ©,SaÃ¯d Taghmaoui,Abdel Ahmed Ghili
Dilwale Dulhania Le Jayenge,1995,189,"Drama, Romance",8.1,"Cuando Raj conoce a Simran en Europa, no es amor a primera vista, pero cuando Simran se muda a la India para un matrimonio concertado, el amor hace sentir su presencia.",Aditya Chopra,Shah Rukh Khan,Kajol,Amrish Puri,Farida Jalal
Before Sunrise,1995,101,"Drama, Romance",8.1,"Un joven y una mujer se conocen en un tren en Europa y acaban pasando una noche juntos en Viena. Desafortunadamente, ambos saben que esta probablemente será su única noche juntos.",Richard Linklater,Ethan Hawke,Julie Delpy,Andrea Eckert,Hanno PÃ¶schl
Trois couleurs: Rouge,1994,99,"Drama, Misterio, Romance",8.1,Una modelo descubre que un juez jubilado está interesado en invadir la privacidad de las personas.,Krzysztof Kieslowski,IrÃ¨ne Jacob,Jean-Louis Trintignant,FrÃ©dÃ©rique Feder,Jean-Pierre Lorit
Chung Hing sam lam,1994,102,"Comedia, Crimen, Drama",8.1,"Dos melancólicos policías de Hong Kong se enamoran: uno de una misteriosa figura femenina del inframundo, el otro de una hermosa y etérea camarera de un restaurante nocturno que frecuenta.",Kar-Wai Wong,Brigitte Lin,Takeshi Kaneshiro,Tony Chiu-Wai Leung,Faye Wong
Jurassic Park,1993,127,"Acción, Aventura, Ciencia ficción",8.1,Un paleontólogo pragmático que visita un parque temático casi completo tiene la tarea de proteger a un par de niños después de que un corte de energía hiciera que los dinosaurios clonados del parque se quedaran sueltos.,Steven Spielberg,Sam Neill,Laura Dern,Jeff Goldblum,Richard Attenborough
In the Name of the Father,1993,133,"Biografía, Crimen, Drama",8.1,La confesión forzada de un hombre a un miembro del I.R.A. El bombardeo que no cometió resultó en el encarcelamiento de su padre también. Un abogado inglés lucha por liberarlos.,Jim Sheridan,Daniel Day-Lewis,Pete Postlethwaite,Alison Crosbie,Philip King
Ba wang bie ji,1993,171,"Drama, Música, Romance",8.1,Dos niños se conocen en una escuela de ópera en Pekín en 1924. Su amistad resultante durará casi 70 años y soportará algunos de los momentos más problemáticos de la historia de China.,Kaige Chen,Leslie Cheung,Fengyi Zhang,Gong Li,You Ge
DÃ  hÃ³ng denglong gaogao guÃ ,1991,125,"Drama, Historia, Romance",8.1,Una joven se convierte en la cuarta esposa de un señor rico y debe aprender a vivir con las estrictas reglas y tensiones dentro del hogar.,Yimou Zhang,Gong Li,Jingwu Ma,Saifei He,Cuifen Cao
Dead Poets Society,1989,128,Comedia dramática,8.1,El profesor inconformista John Keating utiliza la poesía para animar a sus alumnos del internado a alcanzar nuevas alturas de autoexpresión.,Peter Weir,Robin Williams,Robert Sean Leonard,Ethan Hawke,Josh Charles
Stand by Me,1986,89,"Aventura, Drama",8.1,"Tras la muerte de uno de sus amigos, un escritor relata un viaje de infancia con sus amigos para encontrar el cuerpo de un niño desaparecido.",Rob Reiner,Wil Wheaton,River Phoenix,Corey Feldman,Jerry O'Connell
Platoon,1986,120,"Drama, Guerra",8.1,"Chris Taylor, un recluta neófito en Vietnam, se encuentra atrapado en una batalla de voluntades entre dos sargentos, uno bueno y otro malo. Un examen astuto de la brutalidad de la guerra y la dualidad del hombre en conflicto.",Oliver Stone,Charlie Sheen,Tom Berenger,Willem Dafoe,Keith David
"Paris, Texas",1984,145,Drama,8.1,"Travis Henderson, un vagabundo sin rumbo que ha estado desaparecido durante cuatro años, sale del desierto y debe reconectarse con la sociedad, consigo mismo, su vida y su familia.",Wim Wenders,Harry Dean Stanton,Nastassja Kinski,Dean Stockwell,Aurore ClÃ©ment
Kaze no tani no Naushika,1984,117,"Animación, Aventura, Fantasía",8.1,La princesa guerrera y pacifista NausicaÃ¤ lucha desesperadamente para evitar que dos naciones en guerra se destruyan a sí mismas y a su planeta moribundo.,Hayao Miyazaki,Sumi Shimamoto,Mahito Tsujimura,Hisako KyÃ´da,GorÃ´ Naya
The Thing,1982,109,"Terror, Misterio, Ciencia ficción",8.1,Un equipo de investigación en la Antártida es perseguido por un extraterrestre que cambia de forma y asume la apariencia de sus víctimas.,John Carpenter,Kurt Russell,Wilford Brimley,Keith David,Richard Masur
Pink Floyd: The Wall,1982,95,"Drama, Fantasía, Música",8.1,Una estrella de rock confinada pero con problemas cae en la locura en medio de su aislamiento físico y social de todos.,Alan Parker,Bob Geldof,Christine Hargreaves,James Laurenson,Eleanor David
Fitzcarraldo,1982,158,"Aventura, Drama",8.1,"La historia de Brian Sweeney Fitzgerald, un hombre extremadamente decidido que se propone construir un teatro de ópera en medio de una jungla.",Werner Herzog,Klaus Kinski,Claudia Cardinale,JosÃ© Lewgoy,Miguel Ãngel Fuentes
Fanny och Alexander,1982,188,Drama,8.1,"Dos jóvenes suecos viven las numerosas comedias y tragedias de su familia, los Ekdahl.",Ingmar Bergman,Bertil Guve,Pernilla Allwin,Kristina Adolphson,BÃ¶rje Ahlstedt
Blade Runner,1982,117,"Acción, Ciencia ficción, Suspense",8.1,Un Blade Runner debe perseguir y acabar con cuatro replicantes que robaron una nave en el espacio y han regresado a la Tierra para encontrar a su creador.,Ridley Scott,Harrison Ford,Rutger Hauer,Sean Young,Edward James Olmos
The Elephant Man,1980,124,"Biografía, Drama",8.1,"Un cirujano victoriano rescata a un hombre muy desfigurado que es maltratado mientras se gana la vida como un fenómeno secundario. Detrás de su monstruosa fachada, se revela una persona bondadosa, inteligente y sofisticada.",David Lynch,Anthony Hopkins,John Hurt,Anne Bancroft,John Gielgud
Life of Brian,1979,94,Comedia,8.1,"Nacido en la Navidad original en el establo al lado de Jesucristo, Brian de Nazaret pasa su vida siendo confundido con un mesías.",Terry Jones,Graham Chapman,John Cleese,Michael Palin,Terry Gilliam
The Deer Hunter,1978,183,"Drama, Guerra",8.1,Un examen en profundidad de las formas en que la guerra de Vietnam en Estados Unidos impacta y altera la vida de las personas en una pequeña ciudad industrial de Pensilvania.,Michael Cimino,Robert De Niro,Christopher Walken,John Cazale,John Savage
Rocky,1976,120,"Drama, Deporte",8.1,Un boxeador de poca monta tiene una oportunidad sumamente rara de pelear contra un campeón de peso pesado en una pelea en la que se esfuerza por llegar hasta el final por su autoestima.,John G. Avildsen,Sylvester Stallone,Talia Shire,Burt Young,Carl Weathers
Network,1976,121,Drama,8.1,Una cadena de televisión explota cínicamente los desvaríos y las revelaciones de un ex presentador trastornado sobre los medios de comunicación para su propio beneficio.,Sidney Lumet,Faye Dunaway,William Holden,Peter Finch,Robert Duvall
Barry Lyndon,1975,185,"Aventura, Drama, Historia",8.1,Un pícaro irlandés se gana el corazón de una viuda rica y asume la posición aristocrática de su difunto marido en la Inglaterra del siglo XVIII.,Stanley Kubrick,Ryan O'Neal,Marisa Berenson,Patrick Magee,Hardy KrÃ¼ger
Zerkalo,1975,107,"Biografía, Drama",8.1,"Un moribundo de unos cuarenta años recuerda su pasado. Su infancia, su madre, la guerra, momentos personales y cosas que cuentan la historia reciente de toda la nación rusa.",Andrei Tarkovsky,Margarita Terekhova,Filipp Yankovskiy,Ignat Daniltsev,Oleg Yankovskiy
Chinatown,1974,130,"Drama, Misterio, Suspense",8.1,"Un detective privado contratado para exponer a un adúltero se ve atrapado en una red de engaño, corrupción y asesinato.",Roman Polanski,Jack Nicholson,Faye Dunaway,John Huston,Perry Lopez
Paper Moon,1973,102,"Comedia, Crimen, Drama",8.1,"Durante la Gran Depresión, un estafador se ve obligado a cargar con una joven que puede o no ser su hija, y los dos forjan una asociación poco probable.",Peter Bogdanovich,Ryan O'Neal,Tatum O'Neal,Madeline Kahn,John Hillerman
Viskningar och rop,1972,91,Drama,8.1,"Cuando una mujer que muere de cáncer en la Suecia de principios del siglo XX recibe la visita de sus dos hermanas, los sentimientos largamente reprimidos entre los hermanos salen a la superficie.",Ingmar Bergman,Harriet Andersson,Liv Ullmann,Kari Sylwan,Ingrid Thulin
Solaris,1972,167,"Drama, Misterio, Ciencia ficción",8.1,Un psicólogo es enviado a una estación que orbita un planeta distante para descubrir qué ha causado que la tripulación se haya vuelto loca.,Andrei Tarkovsky,Natalya Bondarchuk,Donatas Banionis,JÃ¼ri JÃ¤rvet,Vladislav Dvorzhetskiy
Le samouraÃ¯,1967,105,"Crimen, Drama, Misterio",8.1,"Después de que los testigos ven al asesino a sueldo profesional Jef Costello, sus esfuerzos por conseguir una coartada lo acorralan aún más.",Jean-Pierre Melville,Alain Delon,FranÃ§ois PÃ©rier,Nathalie Delon,Cathy Rosier
Cool Hand Luke,1967,127,"Drama, Crimen",8.1,"Un hombre sureño tranquilo es sentenciado a dos años en una prisión rural, pero se niega a conformarse.",Stuart Rosenberg,Paul Newman,George Kennedy,Strother Martin,J.D. Cannon
Persona,1966,85,"Drama, Suspense",8.1,Una enfermera queda a cargo de una actriz muda y descubre que sus personajes se están fusionando.,Ingmar Bergman,Bibi Andersson,Liv Ullmann,Margaretha Krook,Gunnar BjÃ¶rnstrand
Andrei Rublev,1966,205,"Biografía, Drama, Historia",8.1,"La vida, la época y las aflicciones del iconógrafo ruso del siglo XV San Andrei Rublev.",Andrei Tarkovsky,Anatoliy Solonitsyn,Ivan Lapikov,Nikolay Grinko,Nikolay Sergeev
La battaglia di Algeri,1966,121,"Drama, Guerra",8.1,"En la década de 1950, el miedo y la violencia aumentan a medida que el pueblo de Argel lucha por independizarse del gobierno francés.",Gillo Pontecorvo,Brahim Hadjadj,Jean Martin,Yacef Saadi,Samia Kerbash
El Ã¡ngel exterminador,1962,95,"Drama, Fantasía",8.1,Los invitados a una cena de clase alta no pueden irse.,Luis BuÃ±uel,Silvia Pinal,Jacqueline Andere,Enrique Rambal,JosÃ© Baviera
What Ever Happened to Baby Jane?,1962,134,"Drama, Terror, Suspense",8.1,Una ex estrella infantil atormenta a su hermana parapléjica en su decadente mansión de Hollywood.,Robert Aldrich,Bette Davis,Joan Crawford,Victor Buono,Wesley Addy
Sanjuro,1962,96,"Acción, Comedia, Crimen",8.1,"Un astuto samurái ayuda a un joven y a sus compañeros de clan a salvar a su tío, que ha sido incriminado y encarcelado por un superintendente corrupto.",Akira Kurosawa,ToshirÃ´ Mifune,Tatsuya Nakadai,Keiju Kobayashi,YÃ»nosuke ItÃ´
The Man Who Shot Liberty Valance,1962,123,"Drama, Western",8.1,Un senador regresa a un pueblo del oeste para el funeral de un viejo amigo y cuenta la historia de sus orígenes.,John Ford,James Stewart,John Wayne,Vera Miles,Lee Marvin
Ivanovo detstvo,1962,95,"Drama, Guerra",8.1,"En la Segunda Guerra Mundial, Ivan Bondarev, huérfano soviético de doce años, trabaja para el ejército soviético como explorador detrás de las líneas alemanas y entabla amistad con tres comprensivos oficiales soviéticos.",Andrei Tarkovsky,Eduard Abalov,Nikolay Burlyaev,Valentin Zubkov,Evgeniy Zharikov
JungfrukÃ¤llan,1960,89,Drama,8.1,"Una joven virgen inocente pero mimada y la sirvienta celosa y embarazada de su familia se propusieron llevar velas a la iglesia, pero solo una regresa de los eventos que suceden en el bosque a lo largo del camino.",Ingmar Bergman,Max von Sydow,Birgitta Valberg,Gunnel Lindblom,Birgitta Pettersson
Inherit the Wind,1960,128,"Biografía, Drama, Historia",8.1,"Basado en un caso de la vida real de 1925, dos grandes abogados defienden el caso a favor y en contra de un profesor de ciencias acusado del delito de enseñar la evolución.",Stanley Kramer,Spencer Tracy,Fredric March,Gene Kelly,Dick York
Les quatre cents coups,1959,99,"Drama, Crimen",8.1,"Un joven, dejado sin atención, se adentra en una vida de delitos menores.",FranÃ§ois Truffaut,Jean-Pierre LÃ©aud,Albert RÃ©my,Claire Maurier,Guy Decomble
Ben-Hur,1959,212,"Aventura, Drama, Historia",8.1,"Después de que un amigo romano traiciona a un príncipe judío y lo envía a la esclavitud, recupera su libertad y regresa en busca de venganza.",William Wyler,Charlton Heston,Jack Hawkins,Stephen Boyd,Haya Harareet
Kakushi-toride no san-akunin,1958,139,"Aventura, Drama",8.1,"Atraídos por el oro, dos campesinos codiciosos, sin saberlo, escoltan a una princesa y a su general a través de las líneas enemigas.",Akira Kurosawa,ToshirÃ´ Mifune,Misa Uehara,Minoru Chiaki,Kamatari Fujiwara
Le notti di Cabiria,1957,110,Drama,8.1,"Una prostituta abandonada deambula por las calles de Roma en busca del amor verdadero, pero sólo encuentra angustia.",Federico Fellini,Giulietta Masina,FranÃ§ois PÃ©rier,Franca Marzi,Dorian Gray
Kumonosu-jÃ´,1957,110,"Drama, Historia",8.1,"Un general curtido por la guerra, incitado por su ambiciosa esposa, trabaja para cumplir una profecía de que se convertiría en señor del Castillo de Telaraña.",Akira Kurosawa,ToshirÃ´ Mifune,Minoru Chiaki,Isuzu Yamada,Takashi Shimura
The Bridge on the River Kwai,1957,161,"Aventura, Drama, Guerra",8.1,"Los prisioneros de guerra británicos se ven obligados a construir un puente ferroviario sobre el río Kwai para sus captores japoneses, sin saber que las fuerzas aliadas planean destruirlo.",David Lean,William Holden,Alec Guinness,Jack Hawkins,Sessue Hayakawa
On the Waterfront,1954,108,"Crimen, Drama, Suspense",8.1,Un ex luchador convertido en estibador lucha por enfrentarse a sus corruptos jefes sindicales.,Elia Kazan,Marlon Brando,Karl Malden,Lee J. Cobb,Rod Steiger
Le salaire de la peur,1953,131,"Aventura, Drama, Suspense",8.1,"En un decrépito pueblo sudamericano, cuatro hombres son contratados para transportar un envío urgente de nitroglicerina sin el equipo que lo haría seguro.",Henri-Georges Clouzot,Yves Montand,Charles Vanel,Peter van Eyck,Folco Lulli
Ace in the Hole,1951,111,"Drama, Cine negro",8.1,"Un ex periodista frustrado de una gran ciudad que ahora trabaja para un periódico de Albuquerque explota una historia sobre un hombre atrapado en una cueva para reavivar su carrera, pero la situación rápidamente se convierte en un circo fuera de control.",Billy Wilder,Kirk Douglas,Jan Sterling,Robert Arthur,Porter Hall
White Heat,1949,114,"Acción, Crimen, Drama",8.1,Un criminal psicópata con complejo materno escapa de la prisión y lidera a su antigua banda en un atraco a la nómina de una planta química.,Raoul Walsh,James Cagney,Virginia Mayo,Edmond O'Brien,Margaret Wycherly
The Third Man,1949,104,"Cine negro, Misterio, Suspense",8.1,"La novelista Pulp Holly Martins viaja a la sombría Viena de la posguerra, sólo para encontrarse investigando la misteriosa muerte de un viejo amigo, Harry Lime.",Carol Reed,Orson Welles,Joseph Cotten,Alida Valli,Trevor Howard
The Red Shoes,1948,135,"Drama, Música, Romance",8.1,Una joven bailarina de ballet se debate entre el hombre que ama y su objetivo de convertirse en primera bailarina.,Michael Powell,Emeric Pressburger,Anton Walbrook,Marius Goring,Moira Shearer
The Shop Around the Corner,1940,99,"Comedia, Drama, Romance",8.1,"Dos empleados de una tienda de regalos apenas se soportan, sin darse cuenta de que se están enamorando a través del correo como amigo por correspondencia anónimo del otro.",Ernst Lubitsch,Margaret Sullavan,James Stewart,Frank Morgan,Joseph Schildkraut
Rebecca,1940,130,"Drama, Misterio, Romance",8.1,Una mujer consciente de sí misma hace malabarismos para adaptarse a su nuevo papel como esposa de un aristócrata y evitar ser intimidada por la presencia espectral de su primera esposa.,Alfred Hitchcock,Laurence Olivier,Joan Fontaine,George Sanders,Judith Anderson
Mr. Smith Goes to Washington,1939,129,Comedia dramática,8.1,"Un hombre ingenuo es designado para cubrir una vacante en el Senado de los Estados Unidos. Sus planes pronto chocan con la corrupción política, pero no da marcha atrás.",Frank Capra,James Stewart,Jean Arthur,Claude Rains,Edward Arnold
Gone with the Wind,1939,238,"Drama, Historia, Romance",8.1,Una mujer manipuladora y un hombre pícaro mantienen un romance turbulento durante los períodos de la Guerra Civil y la Reconstrucción de Estados Unidos.,Victor Fleming,George Cukor,Sam Wood,Clark Gable,Vivien Leigh
La Grande Illusion,1937,113,"Drama, Guerra",8.1,"Durante la Primera Guerra Mundial, dos soldados franceses son capturados y encarcelados en un campo de prisioneros de guerra alemán. acampar. Siguen varios intentos de fuga hasta que finalmente son enviados a una fortaleza aparentemente ineludible.",Jean Renoir,Jean Gabin,Dita Parlo,Pierre Fresnay,Erich von Stroheim
It Happened One Night,1934,105,Comedia romántica,8.1,"Un reportero renegado y una joven heredera loca se conocen en un autobús que se dirige a Nueva York, y acaban atrapados cuando el autobús los deja atrás en una de las paradas.",Frank Capra,Clark Gable,Claudette Colbert,Walter Connolly,Roscoe Karns
